S,Country,Sname,BS
African golden cat,Gabon,Caracal aurata,9.1
Andean cat,Argentina,Leopardus jacobita,5.16
Andean cat,Bolivia,Leopardus jacobita,5.16
Bobcat lynx,Mexico,Lynx rufus,7.75
Bobcat lynx,United States,Lynx rufus,7.75
Canada lynx,Canada,Lynx canadensis,9.65
Cheetah,Algeria,Acinonyx jubatus,38.65
Cheetah,Botswana,Acinonyx jubatus,38.65
Cheetah,Namibia,Acinonyx jubatus,38.65
Clouded leopard,India,Neofelis nebulosa,17
Clouded leopard,Myanmar (Burma),Neofelis nebulosa,17
Eurasian lynx,Croatia-Slovakia,Lynx lynx,18.45
Eurasian lynx,France,Lynx lynx,18.45
Eurasian lynx,Germany,Lynx lynx,18.45
Eurasian lynx,Slovakia,Lynx lynx,18.45
Eurasian lynx,Switzerland,Lynx lynx,18.45
Geoffroy's cat,Argentina,Leopardus geoffroyi,4.65
Geoffroy's cat,Bolivia,Leopardus geoffroyi,4.65
Geoffroy's cat,Brazil,Leopardus geoffroyi,4.65
Iberian lynx,Portugal,Lynx pardinus,11.05
Iberian lynx,Spain,Lynx pardinus,11.05
Jaguar,Argentina,Panthera onca,85.7
Jaguar,Belize,Panthera onca,85.7
Jaguar,Bolivia,Panthera onca,85.7
Jaguar,Brazil,Panthera onca,85.7
Jaguar,Colombia,Panthera onca,85.7
Jaguar,Costa Rica,Panthera onca,85.7
Jaguar,Ecuador,Panthera onca,85.7
Jaguar,French Guiana,Panthera onca,85.7
Jaguar,Guatemala,Panthera onca,85.7
Jaguar,Mexico,Panthera onca,85.7
Jaguar,Peru,Panthera onca,85.7
Jaguar,Venezuela,Panthera onca,85.7
Jungle cat,India,Felis chaus,6.6
Leopard,Bhutan,Panthera pardus,41
Leopard,Botswana,Panthera pardus,41
Leopard,Cambodia,Panthera pardus,41
Leopard,China,Panthera pardus,41
Leopard,Gabon,Panthera pardus,41
Leopard,India,Panthera pardus,41
Leopard,Iran,Panthera pardus,41
Leopard,Malawi,Panthera pardus,41
Leopard,Malaysia,Panthera pardus,41
Leopard,Mozambique,Panthera pardus,41
Leopard,Namibia,Panthera pardus,41
Leopard,Nepal,Panthera pardus,41
Leopard,Pakistan,Panthera pardus,41
Leopard,Russia,Panthera pardus,41
Leopard,Senegal,Panthera pardus,41
Leopard,South Africa,Panthera pardus,41
Leopard,Sri Lanka,Panthera pardus,41
Leopard,Tanzania. United Republic of,Panthera pardus,41
Leopard,Uganda,Panthera pardus,41
Leopard,Zambia,Panthera pardus,41
Leopard,Zimbabwe,Panthera pardus,41
Leopard cat,India,Prionailurus bengalensis,2.6
Leopard cat,Malaysia,Prionailurus bengalensis,2.6
Leopard cat,Singapore,Prionailurus bengalensis,2.6
Leopard cat,Thailand,Prionailurus bengalensis,2.6
Lion,Benin/Burkina Faso/Niger,Panthera leo,145.1
Lion,Botswana,Panthera leo,145.1
Lion,Botswana,Panthera leo,145.1
Lion,Cameron,Panthera leo,145.1
Lion,Central African Republic,Panthera leo,145.1
Lion,Chad,Panthera leo,145.1
Lion,India,Panthera leo,145.1
Lion,Kenya,Panthera leo,145.1
Lion,Kenya,Panthera leo,145.1
Lion,Mozambique,Panthera leo,145.1
Lion,Namibia,Panthera leo,145.1
Lion,Nigeria,Panthera leo,145.1
Lion,Republic of South Africa,Panthera leo,145.1
Lion,Senegal,Panthera leo,145.1
Lion,Senegal,Panthera leo,145.1
Lion,Sudan,Panthera leo,145.1
Lion,Tanzania. United Republic of,Panthera leo,145.1
Lion,Uganda,Panthera leo,145.1
Lion,Uganda,Panthera leo,145.1
Lion,United Republic of Tanzania,Panthera leo,145.1
Lion,United Republic of Tanzania,Panthera leo,145.1
Lion,Zambia,Panthera leo,145.1
Lion,Zambia,Panthera leo,145.1
Lion,Zimbabwe,Panthera leo,145.1
Marbled cat,India,Pardofelis marmorata,2.83
Marbled cat,Malaysia,Pardofelis marmorata,2.83
Marbled cat,Myanmar (Burma),Pardofelis marmorata,2.83
Margay,Brazil,Leopardus wiedii,3.45
Margay,Mexico,Leopardus wiedii,3.45
Ocelot,Argentina,Leopardus pardalis,11.65
Ocelot,Belize,Leopardus pardalis,11.65
Ocelot,Brazil,Leopardus pardalis,11.65
Ocelot,Colombia,Leopardus pardalis,11.65
Ocelot,Mexico,Leopardus pardalis,11.65
Ocelot,Panama,Leopardus pardalis,11.65
Ocelot,Peru,Leopardus pardalis,11.65
Ocelot,United States,Leopardus pardalis,11.65
Oncilla,Brazil,Leopardus tigrinus,2.4
Pallas's cat,Mongolia,Otocolobus manul,4.07
Pampas cat,Argentina,Leopardus colocolo,3.95
Pampas cat,Bolivia,Leopardus colocolo,3.95
Puma,Argentina,Puma concolor,44.8
Puma,Belize,Puma concolor,44.8
Puma,Brazil,Puma concolor,44.8
Puma,Chile,Puma concolor,44.8
Puma,Mexico,Puma concolor,44.8
Puma,United States,Puma concolor,44.8
Rusty-spotted cat,India,Prionailurus rubiginosus,0.9
Serval,Senegal,Leptailurus serval,9.85
Serval,South Africa,Leptailurus serval,9.85
Serval,Zambia,Leptailurus serval,9.85
Snow leopard,Bhutan,Panthera uncia,40.25
Snow leopard,China,Panthera uncia,40.25
Snow leopard,India,Panthera uncia,40.25
Snow leopard,Mongolia,Panthera uncia,40.25
Snow leopard,Nepal,Panthera uncia,40.25
Snow leopard,Tajikistan,Panthera uncia,40.25
Sunda clouded leopard,Indonesia,Neofelis diardi,19.9
Sunda clouded leopard,Malaysia,Neofelis diardi,19.9
Tiger,Bangladesh,Panthera tigris,190.5
Tiger,Bhutan,Panthera tigris,190.5
Tiger,China,Panthera tigris,190.5
Tiger,India,Panthera tigris,190.5
Tiger,Indonesia,Panthera tigris,190.5
Tiger,Laos,Panthera tigris,190.5
Tiger,Malaysia,Panthera tigris,190.5
Tiger,Myanmar (Burma),Panthera tigris,190.5
Tiger,Nepal,Panthera tigris,190.5
Tiger,Russia,Panthera tigris,190.5
Tiger,Thailand,Panthera tigris,190.5
Wildcat,Italy,Felis silvestris,4.3
Wildcat,Spain,Felis silvestris,4.3
Wildcat,United Kingdom,Felis silvestris,4.3
